id,gloss
00623,accident
00624,accident
00625,accident
00626,accident
00627,accident
00628,accident
00629,accident
00631,accident
00632,accident
00633,accident
00634,accident
02999,apple
03000,apple
03001,apple
03002,apple
03003,apple
03005,apple
05229,basketball
05230,basketball
05231,basketball
05232,basketball
05233,basketball
05234,basketball
05238,basketball
05239,basketball
05629,bed
05630,bed
05631,bed
05632,bed
05633,bed
05634,bed
05636,bed
05637,bed
05638,bed
05727,before
05728,before
05729,before
05730,before
05731,before
05732,before
05733,before
05734,before
05739,before
05740,before
05741,before
05742,before
05743,before
07388,bowling
07389,bowling
07390,bowling
07391,bowling
07392,bowling
07393,bowling
07394,bowling
07397,bowling
07398,bowling
07399,bowling
07400,bowling
08689,call
08690,call
08691,call
08692,call
08694,call
08701,call
08702,call
08706,call
08707,call
08915,candy
08916,candy
08917,candy
08918,candy
08919,candy
08920,candy
08921,candy
08924,candy
08925,candy
09915,champion
09916,champion
09917,champion
09918,champion
09919,champion
09920,champion
09921,champion
09922,champion
09924,champion
09949,change
09950,change
09953,change
09954,change
09955,change
09956,change
09957,change
09960,change
09963,change
09966,change
09967,change
11621,cold
11622,cold
11623,cold
11624,cold
11625,cold
11627,cold
11628,cold
11633,cold
11634,cold
11635,cold
12311,computer
12312,computer
12313,computer
12314,computer
12315,computer
12316,computer
12317,computer
12318,computer
12319,computer
12320,computer
12326,computer
12327,computer
12328,computer
13196,cool
13197,cool
13198,cool
13199,cool
13200,cool
13201,cool
13202,cool
13203,cool
13208,cool
13209,cool
13213,cool
13323,corn
13325,corn
13326,corn
13327,corn
13328,corn
13329,corn
13333,corn
13334,corn
13630,cousin
13631,cousin
13632,cousin
13633,cousin
13634,cousin
13635,cousin
13636,cousin
13640,cousin
13641,cousin
13642,cousin
14671,dark
14672,dark
14673,dark
14674,dark
14675,dark
14676,dark
14680,dark
14681,dark
14882,deaf
14883,deaf
14884,deaf
14885,deaf
14886,deaf
14887,deaf
14888,deaf
14893,deaf
14894,deaf
15319,delay
15320,delay
15321,delay
15322,delay
15323,delay
15325,delay
15326,delay
15327,delay
15328,delay
15330,delay
17083,dog
17084,dog
17085,dog
17086,dog
17087,dog
17090,dog
17091,dog
17709,drink
17710,drink
17711,drink
17712,drink
17713,drink
17720,drink
17721,drink
17722,drink
17723,drink
17724,drink
20978,family
20979,family
20980,family
20981,family
20982,family
20983,family
20986,family
20987,family
21069,far
21070,far
21071,far
21072,far
21073,far
21074,far
21075,far
21077,far
21078,far
24940,go
24941,go
24943,go
24946,go
24947,go
24952,go
24954,go
24955,go
24956,go
24960,go
24961,go
24962,go
27206,help
27207,help
27208,help
27209,help
27213,help
27214,help
27215,help
27216,help
27217,help
32320,later
32321,later
32322,later
32323,later
32324,later
32325,later
32326,later
32333,later
32377,laugh
32379,laugh
32380,laugh
32381,laugh
32382,laugh
32383,laugh
32386,laugh
32388,laugh
32389,laugh
32654,leave
32655,leave
32657,leave
32658,leave
32659,leave
32661,leave
32662,leave
32667,leave
32669,leave
34732,man
34733,man
34734,man
34736,man
34737,man
34738,man
34742,man
42956,pizza
42958,pizza
42959,pizza
42960,pizza
42961,pizza
42962,pizza
42966,pizza
42967,pizza
42969,pizza
51056,shirt
51057,shirt
51058,shirt
51059,shirt
51060,shirt
51061,shirt
51063,shirt
51064,shirt
51066,shirt
51067,shirt
51068,shirt
51220,short
51221,short
51223,short
51224,short
51225,short
51226,short
51227,short
51231,short
51232,short
51233,short
56837,tall
56838,tall
56839,tall
56840,tall
56841,tall
56842,tall
56843,tall
56844,tall
56846,tall
56848,tall
57628,thanksgiving
57629,thanksgiving
57630,thanksgiving
57631,thanksgiving
57632,thanksgiving
57633,thanksgiving
57634,thanksgiving
57635,thanksgiving
57638,thanksgiving
57639,thanksgiving
57640,thanksgiving
57641,thanksgiving
57933,thin
57934,thin
57935,thin
57936,thin
57937,thin
57939,thin
57940,thin
57941,thin
57942,thin
57943,thin
57947,thin
57948,thin
57949,thin
58360,thursday
58361,thursday
58362,thursday
58363,thursday
58365,thursday
58366,thursday
59204,trade
59205,trade
59206,trade
59207,trade
59208,trade
59209,trade
59210,trade
59211,trade
59212,trade
59214,trade
59215,trade
59216,trade
63225,who
63226,who
63227,who
63228,who
63229,who
63230,who
63231,who
63232,who
63236,who
63237,who
63664,woman
63665,woman
63666,woman
63667,woman
63668,woman
63669,woman
63672,woman
63673,woman
64280,yes
64281,yes
64283,yes
64284,yes
64287,yes
64288,yes
64291,yes
64292,yes
64293,yes
65009,accident
65084,apple
65085,apple
65086,apple
65145,basketball
65161,bed
65162,bed
65163,bed
65241,bowling
65242,bowling
65290,call
65298,candy
65300,candy
65330,champion
65377,cold
65403,cool
65408,corn
65409,corn
65415,cousin
65439,dark
65440,dark
65445,deaf
65506,dog
65507,dog
65540,drink
65677,family
65682,far
65824,go
65889,help
65890,help
65891,help
66014,later
66015,later
66016,laugh
66025,leave
66097,man
66098,man
66099,man
66297,pizza
66469,short
66591,tall
66592,tall
66606,thin
66607,thin
66637,thursday
66638,thursday
66639,thursday
66640,thursday
66798,woman
66799,woman
69213,apple
69225,basketball
69281,cool
69282,corn
69290,dark
69298,dog
69302,drink
69316,family
69345,go
69364,help
69395,man
69431,pizza
69534,who
69546,yes
